BenchmarkJSON/StringUnicode/Unmarshal    10000	     35121 ns/op	 516.05 MB/s	     35244 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9452	     32915 ns/op	 550.63 MB/s	     33002 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     5452	     66307 ns/op	 273.34 MB/s	     66607 cpu-ns/op	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    11652	     30901 ns/op	 586.52 MB/s	     31017 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9354	     37207 ns/op	 487.11 MB/s	     37373 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal    11414	     32045 ns/op	 565.58 MB/s	     32130 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7954	     44017 ns/op	 411.75 MB/s	     44122 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/Records/Marshal     2350	    144926 ns/op	 199.35 MB/s	    145103 cpu-ns/op	   32835 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2554	    166413 ns/op	 173.61 MB/s	    166699 cpu-ns/op	   32830 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2379	    152817 ns/op	 189.06 MB/s	    153207 cpu-ns/op	   32834 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2632	    146068 ns/op	 197.79 MB/s	    146536 cpu-ns/op	   32828 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2467	    169129 ns/op	 170.82 MB/s	    169516 cpu-ns/op	   32832 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2468	    148286 ns/op	 194.83 MB/s	    148640 cpu-ns/op	   32832 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2402	    152064 ns/op	 189.99 MB/s	    152974 cpu-ns/op	   32833 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2580	    152001 ns/op	 190.07 MB/s	    152372 cpu-ns/op	   32829 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2118	    151844 ns/op	 190.27 MB/s	    152379 cpu-ns/op	   32842 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     1040	    301951 ns/op	  95.68 MB/s	    305433 cpu-ns/op	   32918 B/op	       1 allocs/op
BenchmarkJSON/Records/Unmarshal     1336	    269197 ns/op	 107.32 MB/s	    269782 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1282	    280503 ns/op	 103.00 MB/s	    283260 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1262	    285606 ns/op	 101.16 MB/s	    286437 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1162	    301613 ns/op	  95.79 MB/s	    302344 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1010	    339296 ns/op	  85.15 MB/s	    339774 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1364	    277791 ns/op	 104.00 MB/s	    278546 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1110	    288121 ns/op	 100.27 MB/s	    289025 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1168	    272519 ns/op	 106.01 MB/s	    272539 cpu-ns/op	    3300 B/op	     256 allocs/op
