comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
ascii-quote-runs,ASCII32,Marshal,1,encode,200,1345.03,180.215,2.48,6.025,0.05
ascii-quote-runs,ASCII32,Marshal,1,current,200,1317.01,176.21,2.47,6.025,0.05
ascii-quote-runs,ASCII32,Marshal,2,current,200,1317.01,176.21,2.47,6.025,0.05
ascii-quote-runs,ASCII32,Marshal,2,encode,200,1345.03,180.215,2.48,6.025,0.05
ascii-quote-runs,ASCII256,Marshal,0,current,200,1673.29,218.965,4.83,5.055,0.045
ascii-quote-runs,ASCII256,Marshal,0,encode,200,1701.29,222.965,4.85,5.055,0.045
ascii-quote-runs,ASCII256,Marshal,1,encode,200,1701.29,222.965,4.85,5.055,0.045
ascii-quote-runs,ASCII256,Marshal,1,current,200,1673.29,218.965,4.83,5.055,0.045
ascii-quote-runs,ASCII256,Marshal,2,current,200,1677.76,219.455,5.555,5.055,0.045
ascii-quote-runs,ASCII256,Marshal,2,encode,200,1701.29,222.965,4.85,5.055,0.045
ascii-quote-runs,ASCII4096,Marshal,0,current,200,6571.4,738.63,10.305,6.405,0.055
ascii-quote-runs,ASCII4096,Marshal,0,encode,200,6397.915,723.39,10.56,5.215,0.045
ascii-quote-runs,ASCII4096,Marshal,1,encode,200,6498.79,733.14,11.175,5.215,0.045
ascii-quote-runs,ASCII4096,Marshal,1,current,200,6504.94,732.48,8.845,5.54,0.055
ascii-quote-runs,ASCII4096,Marshal,2,current,200,6490.245,730.46,8.98,5.215,0.045
ascii-quote-runs,ASCII4096,Marshal,2,encode,200,6460.445,729.58,10.995,5.215,0.045
ascii-quote-runs,EscapeRuns,Marshal,0,current,200,58776.88,12248.825,29.085,6.58,0.055
ascii-quote-runs,EscapeRuns,Marshal,0,encode,200,10007.595,1239.81,28.035,5.215,0.045
ascii-quote-runs,EscapeRuns,Marshal,1,encode,200,9983.155,1238.07,27.92,5.215,0.045
ascii-quote-runs,EscapeRuns,Marshal,1,current,200,58601.01,12231.2,26.385,5.215,0.045
ascii-quote-runs,EscapeRuns,Marshal,2,current,200,58742.06,12291.115,27.155,5.705,0.055
ascii-quote-runs,EscapeRuns,Marshal,2,encode,200,10024.495,1241.45,28.22,5.215,0.045
ascii-quote-runs,UnicodeRuns,Marshal,0,current,200,58318.465,12108.54,24.435,5.215,0.045
ascii-quote-runs,UnicodeRuns,Marshal,0,encode,200,9551.485,1099.52,26.6,5.215,0.045
ascii-quote-runs,UnicodeRuns,Marshal,1,encode,200,9664.58,1110.455,27.21,5.215,0.045
ascii-quote-runs,UnicodeRuns,Marshal,1,current,200,58838.595,12216.625,26.425,5.705,0.055
ascii-quote-runs,UnicodeRuns,Marshal,2,current,200,58410.325,12117.56,24.82,5.215,0.045
ascii-quote-runs,UnicodeRuns,Marshal,2,encode,200,9617.72,1106.395,27.865,6.09,0.055
ascii-quote-runs,GolangSource,Marshal,0,current,3,59954584.0,8430550.666666666,312750.6666666667,102463.0,64037.666666666664
ascii-quote-runs,GolangSource,Marshal,0,encode,3,59349028.0,8481866.666666666,336896.3333333333,102466.0,64037.666666666664
ascii-quote-runs,GolangSource,Marshal,1,encode,3,59346976.0,8481557.333333334,336809.3333333333,102464.0,64036.0
ascii-quote-runs,GolangSource,Marshal,1,current,3,59953866.0,8430387.333333334,312674.6666666667,102464.0,64035.666666666664
ascii-quote-runs,GolangSource,Marshal,2,current,3,59953142.666666664,8430338.0,312680.6666666667,102462.33333333333,64036.333333333336
ascii-quote-runs,GolangSource,Marshal,2,encode,3,59347221.333333336,8481569.0,336798.6666666667,102464.0,64036.0
ascii-quote-runs,StringEscaped,Marshal,0,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringEscaped,Marshal,0,encode,3,567617.0,85676.33333333333,350.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringEscaped,Marshal,1,encode,3,567448.0,85652.66666666667,347.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringEscaped,Marshal,1,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringEscaped,Marshal,2,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringEscaped,Marshal,2,encode,3,567617.0,85676.33333333333,350.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,0,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,0,encode,3,567617.0,85676.33333333333,350.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,1,encode,3,567617.0,85676.33333333333,350.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,1,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,2,current,3,584179.0,86006.33333333333,346.6666666666667,65.66666666666667,2.6666666666666665
ascii-quote-runs,StringUnicode,Marshal,2,encode,3,567617.0,85676.33333333333,350.3333333333333,65.66666666666667,2.6666666666666665
ascii-quote-runs,TwitterStatus,Marshal,0,current,3,12234213.0,1744127.3333333333,58496.666666666664,16936.333333333332,8131.0
