BenchmarkJSON/Records/Unmarshal     1298	    281619 ns/op	 102.59 MB/s	    282463 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1066	    282921 ns/op	 102.12 MB/s	    283520 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1336	    276027 ns/op	 104.67 MB/s	    276862 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1250	    271189 ns/op	 106.53 MB/s	    272181 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   283485	      1300 ns/op	3189.54 MB/s	      1307 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   249396	      1276 ns/op	3250.12 MB/s	      1282 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   301113	      1191 ns/op	3481.26 MB/s	      1197 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   233359	      1306 ns/op	3174.89 MB/s	      1312 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   258579	      1253 ns/op	3308.94 MB/s	      1262 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   294548	      1219 ns/op	3401.22 MB/s	      1240 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   260829	      1283 ns/op	3232.00 MB/s	      1288 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   234738	      1347 ns/op	3078.56 MB/s	      1369 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   294127	      1210 ns/op	3425.67 MB/s	      1222 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   274176	      1287 ns/op	3222.17 MB/s	      1293 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   167907	      1921 ns/op	2157.86 MB/s	      1937 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   179822	      1852 ns/op	2238.36 MB/s	      1865 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   183164	      1876 ns/op	2209.86 MB/s	      1887 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   175072	      1936 ns/op	2141.14 MB/s	      1947 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   178170	      1987 ns/op	2086.67 MB/s	      2001 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   184202	      1813 ns/op	2286.44 MB/s	      1821 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   176101	      1821 ns/op	2277.06 MB/s	      1856 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   171390	      1935 ns/op	2142.56 MB/s	      1942 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   200396	      1813 ns/op	2287.05 MB/s	      1829 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   196795	      1885 ns/op	2199.14 MB/s	      1888 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   646197	       535.0 ns/op	 125.23 MB/s	       538.1 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   677378	       526.8 ns/op	 127.19 MB/s	       528.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   682596	       538.4 ns/op	 124.45 MB/s	       540.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   702505	       539.1 ns/op	 124.28 MB/s	       540.4 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   679941	       525.0 ns/op	 127.61 MB/s	       527.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   688904	       538.3 ns/op	 124.46 MB/s	       539.4 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   724575	       533.6 ns/op	 125.57 MB/s	       534.8 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   657234	       533.0 ns/op	 125.71 MB/s	       535.0 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   722787	       548.8 ns/op	 122.08 MB/s	       551.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   618490	       524.5 ns/op	 127.74 MB/s	       526.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   307610	       991.1 ns/op	  67.60 MB/s	       996.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   407304	       916.3 ns/op	  73.12 MB/s	       919.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   411104	       945.8 ns/op	  70.84 MB/s	       949.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   348403	       974.2 ns/op	  68.77 MB/s	       978.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   340995	      1006 ns/op	  66.62 MB/s	      1011 cpu-ns/op	       0 B/op	       0 allocs/op
